burst_num,burst_trig_bin,burst_file,single_emission
105, trig00000,cat64ms.00105,1
107, trig00000,cat64ms.00107,0
108, trig00000,cat64ms.00108,1
109, trig00000,cat64ms.00109,0
110, trig00000,cat64ms.00110,0
111, trig00000,cat64ms.00111,1
114, trig00000,cat64ms.00114,0
121, trig00000,cat64ms.00121,1
130, trig00000,cat64ms.00130,1
133, trig00000,cat64ms.00133,0
138, trig00000,cat64ms.00138,1
142, trig00000,cat64ms.00142,0
143, trig00000,cat64ms.00143,0
148, trig00000,cat64ms.00148,0
160, trig00000,cat64ms.00160,1
171, trig00000,cat64ms.00171,1
179, trig00000,cat64ms.00179,1
185, trig00000,cat64ms.00185,1
204, trig00000,cat64ms.00204,1
206, trig00000,cat64ms.00206,1
207, trig00000,cat64ms.00207,1
211, trig00000,cat64ms.00211,0
214, trig00000,cat64ms.00214,0
218, trig00000,cat64ms.00218,0
219, trig00000,cat64ms.00219,1
222, trig00000,cat64ms.00222,1
223, trig00000,cat64ms.00223,0
226, trig00000,cat64ms.00226,1
228, trig00000,cat64ms.00228,1
229, trig00000,cat64ms.00229,1
235, trig00000,cat64ms.00235,0
237, trig00000,cat64ms.00237,1
249, trig00000,cat64ms.00249,1
254, trig00000,cat64ms.00254,1
257, trig00000,cat64ms.00257,1
269, trig00000,cat64ms.00269,0
288, trig00000,cat64ms.00288,1
289, trig00000,cat64ms.00289,0
297, trig00000,cat64ms.00297,1
298, trig00000,cat64ms.00298,1
332, trig00000,cat64ms.00332,1
351, trig00000,cat64ms.00351,0
353, trig00000,cat64ms.00353,0
373, trig00000,cat64ms.00373,1
394, trig00000,cat64ms.00394,1
398, trig00000,cat64ms.00398,1
401, trig00000,cat64ms.00401,1
404, trig00000,cat64ms.00404,0
408, trig00000,cat64ms.00408,1
414, trig00000,cat64ms.00414,1
432, trig00000,cat64ms.00432,1
444, trig00000,cat64ms.00444,1
451, trig00000,cat64ms.00451,1
465, trig00000,cat64ms.00465,1
467, trig00000,cat64ms.00467,1
469, trig00000,cat64ms.00469,1
472, trig00000,cat64ms.00472,1
473, trig00000,cat64ms.00473,1
474, trig00000,cat64ms.00474,1
480, trig00000,cat64ms.00480,1
486, trig00000,cat64ms.00486,1
491, trig00000,cat64ms.00491,1
493, trig00000,cat64ms.00493,1
501, trig00000,cat64ms.00501,1
503, trig00000,cat64ms.00503,1
508, trig00000,cat64ms.00508,1
512, trig00000,cat64ms.00512,0
516, trig00000,cat64ms.00516,1
526, trig00000,cat64ms.00526,0
